,village,interview_date,no_membrs
0,God,2016-11-17T00:00:00Z,3
1,God,2016-11-17T00:00:00Z,7
2,God,2016-11-17T00:00:00Z,10
3,God,2016-11-17T00:00:00Z,7
4,God,2016-11-17T00:00:00Z,7
5,God,2016-11-17T00:00:00Z,3
6,God,2016-11-17T00:00:00Z,6
7,Chirodzo,2016-11-16T00:00:00Z,12
8,Chirodzo,2016-11-16T00:00:00Z,8
9,Chirodzo,2016-12-16T00:00:00Z,12
10,God,2016-11-21T00:00:00Z,6
11,God,2016-11-21T00:00:00Z,7
12,God,2016-11-21T00:00:00Z,6
13,God,2016-11-21T00:00:00Z,10
14,God,2016-11-21T00:00:00Z,5
15,God,2016-11-24T00:00:00Z,6
16,God,2016-11-21T00:00:00Z,8
17,God,2016-11-21T00:00:00Z,4
18,God,2016-11-21T00:00:00Z,9
19,God,2016-11-21T00:00:00Z,6
20,God,2016-11-21T00:00:00Z,8
21,God,2016-11-21T00:00:00Z,4
22,Ruaca,2016-11-21T00:00:00Z,10
23,Ruaca,2016-11-21T00:00:00Z,6
24,Ruaca,2016-11-21T00:00:00Z,11
25,Ruaca,2016-11-21T00:00:00Z,3
26,Ruaca,2016-11-21T00:00:00Z,7
27,Ruaca,2016-11-21T00:00:00Z,2
28,Ruaca,2016-11-21T00:00:00Z,7
29,Ruaca,2016-11-21T00:00:00Z,7
30,Ruaca,2016-11-21T00:00:00Z,3
31,Ruaca,2016-11-21T00:00:00Z,19
32,Ruaca,2016-11-21T00:00:00Z,8
33,Chirodzo,2016-11-17T00:00:00Z,8
34,Chirodzo,2016-11-17T00:00:00Z,5
35,Chirodzo,2016-11-17T00:00:00Z,6
36,Chirodzo,2016-11-17T00:00:00Z,3
37,God,2016-11-17T00:00:00Z,10
38,God,2016-11-17T00:00:00Z,6
39,God,2016-11-17T00:00:00Z,9
40,God,2016-11-17T00:00:00Z,7
41,God,2016-11-17T00:00:00Z,8
42,Chirodzo,2016-11-17T00:00:00Z,7
43,Chirodzo,2016-11-17T00:00:00Z,2
44,Chirodzo,2016-11-17T00:00:00Z,9
45,Chirodzo,2016-11-17T00:00:00Z,10
46,Chirodzo,2016-11-17T00:00:00Z,2
47,Chirodzo,2016-11-16T00:00:00Z,7
48,Chirodzo,2016-11-16T00:00:00Z,6
49,Chirodzo,2016-11-16T00:00:00Z,6
50,Chirodzo,2016-11-16T00:00:00Z,5
51,Chirodzo,2016-11-16T00:00:00Z,11
52,Chirodzo,2016-11-16T00:00:00Z,8
53,Chirodzo,2016-11-16T00:00:00Z,7
54,Chirodzo,2016-11-16T00:00:00Z,9
55,Chirodzo,2016-11-16T00:00:00Z,12
56,Chirodzo,2016-11-16T00:00:00Z,4
57,Chirodzo,2016-11-16T00:00:00Z,11
58,Chirodzo,2016-11-16T00:00:00Z,2
59,Chirodzo,2016-11-16T00:00:00Z,8
60,Chirodzo,2016-11-16T00:00:00Z,10
61,Chirodzo,2016-11-16T00:00:00Z,5
62,Chirodzo,2016-11-16T00:00:00Z,4
63,Chirodzo,2016-11-16T00:00:00Z,6
64,Chirodzo,2016-11-16T00:00:00Z,8
65,Chirodzo,2016-11-16T00:00:00Z,10
66,Chirodzo,2016-11-16T00:00:00Z,5
67,Chirodzo,2016-11-16T00:00:00Z,8
68,Chirodzo,2016-11-16T00:00:00Z,4
69,Chirodzo,2016-11-16T00:00:00Z,8
70,Ruaca,2016-11-18T00:00:00Z,6
71,Chirodzo,2016-11-16T00:00:00Z,4
72,Ruaca,2016-11-23T00:00:00Z,5
73,Ruaca,2016-11-24T00:00:00Z,10
74,Ruaca,2016-11-24T00:00:00Z,5
75,God,2016-11-24T00:00:00Z,4
76,Ruaca,2016-11-25T00:00:00Z,5
77,God,2016-11-25T00:00:00Z,10
78,Ruaca,2016-11-25T00:00:00Z,7
79,God,2016-11-25T00:00:00Z,11
80,God,2016-11-25T00:00:00Z,7
81,God,2016-11-28T00:00:00Z,7
82,God,2016-11-28T00:00:00Z,5
83,God,2016-11-28T00:00:00Z,5
84,God,2016-11-28T00:00:00Z,7
85,God,2016-11-28T00:00:00Z,5
86,God,2016-11-28T00:00:00Z,3
87,God,2016-11-21T00:00:00Z,4
88,God,2016-11-17T00:00:00Z,12
89,Ruaca,2017-04-26T00:00:00Z,6
90,Ruaca,2017-04-26T00:00:00Z,7
91,Ruaca,2017-04-26T00:00:00Z,17
92,Ruaca,2017-04-27T00:00:00Z,5
93,Ruaca,2017-04-27T00:00:00Z,7
94,God,2017-04-27T00:00:00Z,5
95,God,2017-04-27T00:00:00Z,3
96,Ruaca,2017-04-27T00:00:00Z,6
97,Ruaca,2017-04-28T00:00:00Z,12
98,Ruaca,2017-04-28T00:00:00Z,6
99,Ruaca,2017-04-28T00:00:00Z,5
100,Ruaca,2017-04-28T00:00:00Z,14
101,Ruaca,2017-04-28T00:00:00Z,6
102,God,2017-04-30T00:00:00Z,15
103,God,2017-05-03T00:00:00Z,4
104,Ruaca,2017-05-03T00:00:00Z,6
105,Ruaca,2017-05-03T00:00:00Z,11
106,Ruaca,2017-05-04T00:00:00Z,5
107,Ruaca,2017-05-04T00:00:00Z,5
108,Ruaca,2017-05-04T00:00:00Z,3
109,Ruaca,2017-05-11T00:00:00Z,4
110,God,2017-05-11T00:00:00Z,15
111,Ruaca,2017-05-11T00:00:00Z,5
112,Ruaca,2017-05-11T00:00:00Z,10
113,Ruaca,2017-05-18T00:00:00Z,7
114,Ruaca,2017-05-18T00:00:00Z,10
115,Ruaca,2017-05-18T00:00:00Z,7
116,God,2017-05-18T00:00:00Z,4
117,God,2017-06-03T00:00:00Z,7
118,Ruaca,2017-06-03T00:00:00Z,9
119,Ruaca,2017-06-03T00:00:00Z,11
120,Ruaca,2017-06-03T00:00:00Z,8
121,Ruaca,2017-06-03T00:00:00Z,12
122,Ruaca,2017-06-03T00:00:00Z,7
123,Ruaca,2017-06-03T00:00:00Z,15
124,Ruaca,2017-06-03T00:00:00Z,10
125,Chirodzo,2017-06-03T00:00:00Z,9
126,Ruaca,2017-05-18T00:00:00Z,3
127,Ruaca,2017-06-04T00:00:00Z,7
128,Ruaca,2017-06-04T00:00:00Z,4
129,Chirodzo,2017-06-04T00:00:00Z,7
130,Chirodzo,2017-06-04T00:00:00Z,8
